UNITID,PSGRTYPE,XPGREVCT,PGREVCT,XPGEXCLU,PGEXCLU,XPGADJCT,PGADJCT,XPGCMBAC,PGCMBAC,XPGCMOBA,PGCMOBA,XPGCMTOT,PGCMTOT,XSSREVCT,SSREVCT,XSSEXCLU,SSEXCLU,XSSADJCT,SSADJCT,XSSCMBAC,SSCMBAC,XSSCMOBA,SSCMOBA,XSSCMTOT,SSCMTOT,XNRREVCT,NRREVCT,XNREXCLU,NREXCLU,XNRADJCT,NRADJCT,XNRCMBAC,NRCMBAC,XNRCMOBA,NRCMOBA,XNRCMTOT,NRCMTOT,XTTREVCT,TTREVCT,XTTEXCLU,TTEXCLU,XTTADJCT,TTADJCT,XTTCMBAC,TTCMBAC,XTTCMOBA,TTCMOBA,XTTCMTOT,TTCMTOT 
480727,4,R,9,Z,0,R,9,A,,A,,R,9,R,11,Z,0,R,11,A,,A,,R,11,R,10,Z,0,R,10,A,,A,,R,7,R,30,R,0,R,30,A,,A,,R,27
480736,4,R,20,Z,0,R,20,A,,A,,R,17,R,1,Z,0,R,1,A,,A,,R,1,R,0,Z,0,R,0,A,,A,,R,0,R,21,R,0,R,21,A,,A,,R,18
480824,4,R,234,R,1,R,233,A,,A,,R,148,R,21,R,0,R,21,A,,A,,R,12,R,45,R,0,R,45,A,,A,,R,16,R,300,R,1,R,299,A,,A,,R,176
480833,4,R,673,Z,0,R,673,A,,A,,R,506,R,93,Z,0,R,93,A,,A,,R,71,R,187,Z,0,R,187,A,,A,,R,62,R,953,R,0,R,953,A,,A,,R,639
480842,4,R,7,Z,0,R,7,A,,A,,R,7,R,0,Z,0,R,0,A,,A,,R,0,R,0,Z,0,R,0,A,,A,,R,0,R,7,R,0,R,7,A,,A,,R,7
480851,4,R,47,Z,0,R,47,A,,A,,R,30,R,14,Z,0,R,14,A,,A,,R,11,R,9,Z,0,R,9,A,,A,,R,7,R,70,R,0,R,70,A,,A,,R,48
480879,4,R,11,Z,0,R,11,A,,A,,R,5,R,1,Z,0,R,1,A,,A,,R,0,R,2,Z,0,R,2,A,,A,,R,1,R,14,R,0,R,14,A,,A,,R,6
480888,4,R,98,Z,0,R,98,A,,A,,R,92,R,0,Z,0,R,0,A,,A,,R,0,R,14,Z,0,R,14,A,,A,,R,6,R,112,R,0,R,112,A,,A,,R,98
480903,4,R,532,Z,0,R,532,A,,A,,R,405,R,46,Z,0,R,46,A,,A,,R,35,R,0,Z,0,R,0,A,,A,,R,0,R,578,R,0,R,578,A,,A,,R,440
480921,4,R,14,Z,0,R,14,A,,A,,R,8,R,0,Z,0,R,0,A,,A,,R,0,R,1,Z,0,R,1,A,,A,,R,0,R,15,R,0,R,15,A,,A,,R,8
480930,4,R,22,Z,0,R,22,A,,A,,R,17,R,9,Z,0,R,9,A,,A,,R,7,R,7,Z,0,R,7,A,,A,,R,6,R,38,R,0,R,38,A,,A,,R,30
480967,4,R,25,R,0,R,25,A,,A,,R,6,R,0,R,0,R,0,A,,A,,R,0,R,31,R,1,R,30,A,,A,,R,6,R,56,R,1,R,55,A,,A,,R,12
480976,4,R,16,Z,0,R,16,A,,A,,R,10,R,4,Z,0,R,4,A,,A,,R,4,R,6,Z,0,R,6,A,,A,,R,4,R,26,R,0,R,26,A,,A,,R,18
480994,4,P,18,P,0,P,18,A,,A,,P,9,P,1,P,0,P,1,A,,A,,P,0,P,3,P,0,P,3,A,,A,,P,0,P,22,P,0,P,22,A,,A,,P,9
